date,health_reg_name,admissions,respiratory
2020-10-19,Midt,2,0
2020-10-20,Midt,2,0
2020-10-21,Midt,3,0
2020-10-22,Midt,2,0
2020-10-23,Midt,2,0
2020-10-26,Midt,2,0
2020-10-27,Midt,1,0
2020-10-28,Midt,2,0
2020-10-29,Midt,2,0
2020-10-30,Midt,3,0
2020-10-31,Midt,4,1
2020-11-01,Midt,5,1
2020-11-02,Midt,5,1
2020-11-03,Midt,5,1
2020-11-04,Midt,5,1
2020-11-05,Midt,6,1
2020-11-06,Midt,7,1
2020-11-07,Midt,7,1
2020-11-08,Midt,8,1
2020-11-09,Midt,8,1
2020-11-10,Midt,8,1
2020-11-11,Midt,6,1
2020-11-12,Midt,8,1
2020-11-13,Midt,6,1
2020-11-14,Midt,6,1
2020-11-15,Midt,7,1
2020-11-16,Midt,8,1
2020-11-17,Midt,8,1
2020-11-18,Midt,9,1
2020-11-19,Midt,9,1
2020-11-20,Midt,8,1
2020-11-21,Midt,8,1
2020-11-22,Midt,8,1
2020-11-23,Midt,8,1
2020-11-24,Midt,7,1
2020-11-25,Midt,7,1
2020-11-26,Midt,7,1
2020-11-27,Midt,7,1
2020-11-28,Midt,5,0
2020-11-29,Midt,5,0
2020-11-30,Midt,6,1
2020-12-01,Midt,5,1
2020-12-02,Midt,5,1
2020-12-03,Midt,2,1
2020-12-04,Midt,2,1
2020-12-05,Midt,1,1
2020-12-06,Midt,1,1
2020-12-07,Midt,1,1
2020-12-08,Midt,2,1
2020-12-09,Midt,3,1
2020-12-10,Midt,3,1
2020-12-11,Midt,3,1
2020-12-12,Midt,3,1
2020-12-13,Midt,2,1
2020-12-14,Midt,2,1
2020-12-15,Midt,3,1
2020-12-16,Midt,3,1
2020-12-17,Midt,2,1
2020-12-18,Midt,3,1
2020-12-19,Midt,4,1
2020-12-20,Midt,4,1
2020-12-21,Midt,6,1
2020-12-22,Midt,6,1
2020-12-23,Midt,3,1
2020-12-24,Midt,2,1
2020-12-25,Midt,4,1
2020-12-26,Midt,5,1
2020-12-27,Midt,6,1
2020-12-28,Midt,6,1
2020-12-29,Midt,12,2
2020-12-30,Midt,12,2
2020-12-31,Midt,13,2
2021-01-01,Midt,14,2
2021-01-02,Midt,15,2
2021-01-03,Midt,14,2
2021-01-04,Midt,16,2
2021-01-05,Midt,17,2
2021-01-06,Midt,15,2
2021-01-07,Midt,16,1
2021-01-08,Midt,16,1
2021-01-09,Midt,14,1
2021-01-10,Midt,16,1
2021-01-11,Midt,16,2
2021-01-12,Midt,15,2
2021-01-13,Midt,14,1
2021-01-14,Midt,14,1
2021-01-15,Midt,13,1
2021-01-16,Midt,12,1
2021-01-17,Midt,12,1
2021-01-18,Midt,12,1
2021-01-19,Midt,9,1
2021-01-20,Midt,8,1
2021-01-21,Midt,7,1
2021-01-22,Midt,7,1
2021-01-23,Midt,7,1
2021-01-24,Midt,7,1
2021-01-25,Midt,8,1
2021-01-26,Midt,5,1
2021-01-27,Midt,3,1
2021-01-28,Midt,4,1
2021-01-29,Midt,3,1
2021-01-30,Midt,2,1
2021-01-31,Midt,2,1
2021-02-01,Midt,2,1
2021-02-02,Midt,4,1
2021-02-03,Midt,4,1
2021-02-04,Midt,3,1
2021-02-05,Midt,4,1
2021-02-06,Midt,3,1
2021-02-07,Midt,4,1
2021-02-08,Midt,3,1
2021-02-09,Midt,2,1
2021-02-10,Midt,4,2
2021-02-11,Midt,5,2
2021-02-12,Midt,4,2
2021-02-13,Midt,5,2
